Regra,Média (µs),DP (µs),Min (µs),Max (µs),P99 (µs)
rule_masquerade_fake_normal_high_stnum,0.6227,3.8497,0.303,1522.631,0.935
rule_random_replay_cb_status_diff_desvio,0.6236,2.5372,0.316,739.533,1.072
rule_injection_timefromlastchange,0.6268,2.0633,0.241,585.211,1.052
rule_grayhole_injection_forged_packets,0.6288,0.9404,0.439,206.682,1.242
rule_random_replay_replay_consistente,0.6291,1.2726,0.315,441.598,1.002
rule_inverse_replay_replay,0.6365,0.8381,0.377,142.578,1.263
rule_masquerade_fake_normal_frequencia_anomalia_t_diff,0.6382,0.7549,0.296,176.141,1.003
rule_inverse_replay_sqnum,0.6389,5.1688,0.247,2016.124,1.073
rule_masquerade_fake_normal_frequencia_anomalia_estado_disjuntor,0.6417,4.8459,0.248,1849.653,1.046
rule_masquerade_fake_normal_mudancas_anomalias_t_diff,0.6448,2.8498,0.321,836.05,0.999
rule_inverse_replay_padrao_alternancia,0.6461,0.7739,0.472,169.288,1.212
rule_masquerade_fake_normal_timestamp_diff_outside_normal_range,0.6477,3.71,0.26,1055.325,1.052
rule_inverse_replay_tdiff,0.6485,3.8027,0.311,1585.046,1.058
rule_masquerade_fake_fault_tdiff,0.6509,5.4778,0.24,1772.614,1.0375
rule_masquerade_fake_normal_mudancas_anomalias_estado_disjuntor,0.6573,3.3841,0.244,995.579,1.074
rule_random_replay_timestamp_diff_desvio,0.6646,4.7239,0.331,1915.518,0.991
rule_poisoned_high_rate_falsification_state,0.6667,3.3634,0.345,1490.456,1.035
rule_masquerade_fake_fault_stdiff,0.6714,5.6086,0.335,1416.699,1.008
rule_masquerade_fake_fault_sqnum_reset_pattern,0.6781,2.4317,0.429,1041.976,1.335
rule_random_replay_frame_length_diff_desvio,0.679,7.3782,0.259,2242.955,1.054
rule_masquerade_fake_normal_large_stdiff,0.6831,4.2302,0.26,1216.988,1.062
rule_masquerade_fake_normal_large_sqdiff,0.6922,5.2955,0.265,1424.171,1.086
rule_random_replay_goose_length_diff_desvio,0.6941,8.3491,0.258,2026.867,1.061
rule_grayhole_cbstatus_falsification,0.6943,5.9837,0.257,1918.058,1.084
rule_inverse_replay_stdiff_sqdiff,0.6962,3.6278,0.314,1305.245,1.102
rule_masquerade_fake_fault_replay,0.6971,2.1924,0.417,802.066,1.353
rule_masquerade_fake_fault_sqdiff,0.7017,10.0231,0.265,3025.904,1.035
rule_grayhole_frame_length_diff_injection,0.7072,2.0829,0.293,659.823,1.267
rule_random_replay_apdu_size_diff_desvio,0.7117,5.9326,0.259,2016.07,1.126
rule_inverse_replay_stnum,0.7136,5.451,0.309,1121.261,1.079
rule_poisoned_high_rate_frequency,0.7148,4.1382,0.362,1416.49,1.042
rule_poisoned_high_rate_statistical_anomaly,0.7156,6.647,0.279,2084.786,1.107
rule_masquerade_fake_normal_diferenca_significativa_goose_length_diff_apdu_size_diff,0.73,0.8021,0.392,140.27,1.145
rule_random_replay_masquerade_falsificacao,0.7323,2.8734,0.315,660.942,1.1705
rule_masquerade_fake_normal_frequencia_anomalia_cb_status_go_id,0.7341,2.0376,0.367,661.558,1.247
rule_poisoned_high_rate_flood,0.7479,4.5788,0.391,1499.71,1.082
rule_masquerade_fake_normal_reset,0.7545,6.2717,0.341,1552.299,1.315
rule_masquerade_fake_normal_diferenca_significativa_frame_length_diff_timestamp_diff,0.7555,5.7029,0.322,1834.793,1.2225
rule_masquerade_fake_normal_repeticao_exata_pacotes_antigos,0.7571,1.0833,0.339,248.166,1.147
rule_grayhole_goose_length_diff_injection,0.7589,3.9141,0.294,1197.977,1.295
rule_masquerade_fake_normal_diferenca_significativa_delay_time_from_last_change,0.7699,8.0554,0.4,2035.07,1.167
rule_poisoned_high_rate_reset_pattern,0.7729,1.7476,0.419,447.424,1.4445
rule_masquerade_fake_normal_mudancas_anomalias_cb_status_go_id,0.7897,9.7765,0.295,2258.255,1.257
rule_masquerade_fake_normal_zero_timestampdiff,0.7908,7.6213,0.238,1680.223,1.882
rule_high_StNum_falsification_state,0.7961,0.9733,0.283,251.041,1.917
rule_random_replay_falsification,0.8308,3.3059,0.354,899.59,1.249
rule_random_replay_grayhole_desaparecimento,0.8528,1.1648,0.425,350.86,1.206
rule_masquerade_fake_normal_diferenca_significativa_goose_length_diff_apdu_size_diff_frame_length_diff,0.876,4.7939,0.38,1502.156,1.399
rule_random_replay_falsification_state,0.8892,6.8629,0.353,1918.323,1.384
rule_injection_combined,0.8996,2.9322,0.302,1028.616,1.64
rule_masquerade_fake_fault_combined,0.9058,3.8281,0.354,1601.049,1.909
rule_masquerade_fake_normal_desvio_significativo_tráfego_normal,0.953,4.9813,0.396,1229.242,1.408
rule_poisoned_high_rate_falsification,0.9587,8.5782,0.394,2022.709,1.347
rule_poisoned_high_rate_replay,0.9731,1.9258,0.539,720.247,1.377
rule_random_replay_jumps_stnum_time_diff,1.0468,0.5857,0.482,39.658,1.634
rule_random_replay_replay,1.0622,6.3136,0.46,1942.721,1.655
rule_poisoned_high_rate_combination,1.0623,7.7406,0.435,1936.198,1.6795
rule_random_replay_go_id_alterado,1.0735,1.0229,0.238,154.6,1.759
rule_random_replay_sqnum_reset_pattern,1.145,10.0714,0.609,2194.288,1.614
rule_poisoned_high_rate_sqnum_reset_pattern,1.1614,2.6694,0.622,656.482,1.6185
rule_inverse_replay_combined,1.1961,9.1653,0.462,2037.154,1.718
